Course,Campus,Term,Section,Invited,Responded,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Q9 mean,Q10 mean,Q11 mean,Median1,Median2,Median3,Median4,Median5,Median6,Mode1,Mode2,Mode3,Mode4,Mode5,Mode6,StdDev1,StdDev2,StdDev3,StdDev4,StdDev5,StdDev6,A2,C2,D2,D4,E1,E2,E3,Comment for Q7,Comment for Q8
Leadership Skills,UTSC,Winter_2015,LEC02,40,11,3.4,3.5,4,3.5,3.5,3.5,3.3,3.2,3.4,3,4,4,3,3,4,3,4,5,3,3,"3,4",1,1,1.3,0.9,1.1,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'great classSome fun discussions in class but random at times :)The instruction in this course was good.This professor used role plays which helped reinforced concepts learned in class. However, my concern is that theserole plays were too theoretical and were not as helpful in the real world.There is no source as to where the course materials came from. Course materials are very unorganized and not verywell structured. Seems like bits and pieces of random materials are just being taught. Course content doesn\'t reflectwhat leadership is about. Professor has minimal experience to share and relate to topics discussed in class.professor does not take students opinions under consideration and always possess the attitude of ""I am always rightbecause I have my PhD"". Attitude of professor created a toxic classroom environment when she does not respectstudents ideas and opinions.8. Please comment on any assistance that was available to support your learning in thiscourse.'","b'CommentThe professor made herself very available to help students with concerns/issues/questions.She was always available to help students, even outside scheduled office hours.A better professor that is more knowledgeable about course content.'"
Leadership Skills,UTSC,Winter_2015,LEC03,40,9,2.8,2.8,4,2.8,2.8,2.9,2.9,3.3,2.6,3,3,4,3,3,3,"2,3",3,5,3,3,2,1.2,1.3,1.1,1.3,1.3,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'The professor taught the subject very well, but when it came to assignments, she was never really clear about exactlywhat she wanted from us, so we had to do some guesswork about the requirements.no problems with instruction, had to do outside reading for the exam in order to do okGood professor. Allowed dialogue to flow in class and allowed discussion. Clarified questions about the material andwas able to give real life situations8. Please comment on any assistance that was available to support your learning in thiscourse.'",b'CommentShe had office hours and was available via email or skype.'
Leadership Skills,UTSC,Winter_2017,LEC05,39,11,4.1,3.9,3.9,3.8,3.6,3.9,3.7,3.4,3.8,5,4,4,4,4,4,5,5,5,5,"4,",5,1.1,1,1,1.3,,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,b'SatisfactoryProfessor Radhakrishnan taught the course with weekly exercises and role plays.This was a very interesting course that taught me a lot of practical skills despite it being in a university setting.Excellentthe lectures were interesting i liked the interactive aspect of the courseincluded a lot of participation with added to the learning8. Please comment on any assistance that was available to support your learning in thiscourse.',b'CommentSatisfactoryOffice Hours'
Leadership Skills,UTSC,Winter_2014,LEC05,39,6,2.6,2.6,3.8,2.8,2.8,3,2.6,3.6,2.6,2,2,4,2,2,3,"2,4",2,"3,4",2,2,3,1.3,1.5,0.8,1.6,1.3,1.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""Excellent!I found that the role plays were very stimulating and fun to do. It was an interesting way to learn the course materials.I went to all the lectures without knowing what I have learnt. The way the professor Radharishnan taught was toovague. We have a lot of role-plays, but I can't really learn things from those role-play exercises. A lot of my classmatesshared the same feeling as me -- we don't know what we have learnt in this course. For example, prof taught theinter-and intra-personal skills, and we did assignments about those skills. However, I think these assignments areuseless and won't help me on my leadership skill. A lot of us indeed submitted the assignments, but we think theassignments are so useless and are waste of time.8. Please comment on any assistance that was available to support your learning inthis course.""","b'CommentRegarding the assignments, I would suggest moving the Finance Lab Class for Assignment 2 to two weeks beforethe assignment due date rather than the week before. It can provide students with more time to ask questions/research more/ edit their work.'"
Labour Issues,UTSC,Winter_2017,LEC01,10,4,3.5,3.3,3.5,3.3,3.3,3.3,3.5,3.8,2.8,3.5,3,3.5,3,3,3,"3,",3,"2,5",3,3,2,,1.3,N/A,1.3,1.3,1.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""The course was not entirely helpful. Classes were vague as the professor did not go over the outlined class material.The professor should conveyed material in a more understanding way that is also applicable to real life settings.I think the simulations are very engaging but I felt they didn't really cover the course content, so I think it is unfair to half tothen learn the course content on my own time after spending all that time preparing for the simulationsThe quality of instruction was good, however it would have been helpful if the professor lectured us on material that wastested for the exams. The classroom material was quite dense and it would have been nice if we were tested on thematerial that we applied in class rather than requiring us to memorize and look for material. Otherwise, it was a greatlearning experience as far as the exercises were concerned.8. Please comment on any assistance that was available to support your learning in thiscourse.""","b'CommentCourse reserves were available for both books for the course, the required and supplemental book. However, it took along time for it to be accessible maybe in part because of the miscommunication between the professor and library.'"
Leadership Skills,UTSC,Winter_2019,LEC04,45,11,3.8,4.2,4.5,4.5,4.5,3.5,4,3.9,4,3,4,5,5,5,3,3,5,5,5,5,3,1,1,0.8,0.7,0.8,0.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'Lectures were used as a space to put what we learn into practice through role plays. Although I felt like I needed more time toprepare myself for the role plays in order to do a good job on them, since often I would feel under prepared for them. But, overall Ithought the layout of this course was a good way for me (and other people) to develop the skills needed to be a manager/leader.Pretty clear and detailed.Very goodVery good and thoroughthis course is highly useful and helpful for our future career and daily life! i have learned a lot of things after taking this class!Overall very impressing course, but the workload is way too heavy.8. Please comment on any assistance that was available to support your learning in this course.Comments'","b'N/AGood enough.Very goodShes very engaging and niceall the assignments and homework were very useful and effective in learning this course. However, professor R.Phani sometimesgives too many instructions which confused me and my classmates. For example, for the individual assignment and final groupproject, she gave too many paper and guidelines which made us confused. Simple is better. Maybe next time she can combine allthings into one paper and deduct some words.'"
Labour Issues,UTSC,Winter_2019,LEC01,14,4,2.8,2.5,3.3,3,3,3,2.5,2.8,2.8,2.5,2.5,3,3,2.5,2.5,"1,2,3,5","1,4",2,"2,4",2,2,1.7,1.7,1.5,1.2,1.4,1.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'Great course with real life work projects.\xe2\x80\x93Term tests were helpful\xe2\x80\x93Final project does not really relate to entire course, maybe should be more related to the course content8. Please comment on any assistance that was available to support your learning in this course.Comments'","b'\xe2\x80\x93Prof office hours (via email, person etc)'"
Leadership Skills,UTSC,Winter_2019,LEC05,39,12,3.2,3.1,3.4,2.9,2.7,2.7,3,3.5,2.5,4,3,4,3,3,3,4,3,"2,4","1,3","1,3",3,1.5,1.4,1.2,1.5,1.5,1.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""Role Playa were very helpful with understanding the theories and conceptsThe professor's teaching style is not all conducive to my learning style. The workload felt redundant and disconnected fromapplication of learning. I would have preferred if the professor just had good notes and better group projects throughout the course.I liked that we had role\xe2\x80\x93plays following the main lesson of each week as it helped us retain the learning better. However, becausethe professor goes through the slides pretty fast, it's hard to stay engaged and participate in class. Lastly, although theassignments were meaningful, the instructions/requirements are not always consistent across different communication channels.For example, the assignment descriptions says one thing but the grading sheet says something else, which confuses people.The lecture slides summarized and gave a good understanding of the readings. Instructions on assignments were confusing andrequire to follow up to gain a better understanding. Aspects of measuring reliability and validity were very confusing. There could beadditional instruction on reliability and validity.easy but requires a lot of unnecessary effort. Final project is a paiinnnnExtremely confusing courses, assignments, lectures and slides. Was very frustrating.The professor explained the course concepts clearly and gave us real life situations in order to help us understand the real lifeapplications of the topics.great dealProf covers material way too fast to do in\xe2\x80\x93class exercises, and the assignment format is one that no other prof in this programuses. The emphasis on the scientific research method is very strong, and this takes away from the actual learning of the coursematerial. If the prof wasn't so closed minded and focused on research the class would be much more enjoyable.8. Please comment on any assistance that was available to support your learning in this course.Comments""","b""Hardly, if at all.Overall, Prof. R. was very supportive and always willing to answer any questions from students. It's great also that we have journalquestions to document our learning in each class and to study for our final exam!Office hours and in\xe2\x80\x93class assistance were very helpful in furthering my understanding.I wish office hours are more accessibleThe professor answered all emails and was always available.The professor allowed us to book appointments with her in order to ask her questions concerning any confusing course conceptsand clarify anything concerning the exams and assignments.office hour was usefulWas available."""
Leadership Skills,UTSC,Winter_2017,LEC02,29,17,3.6,3.9,4.1,3.9,3.8,3.4,3.6,2.9,3.5,4,4,4,4,4,3,"4,5",5,5,5,4,3,1.3,1.2,1.2,1.3,1.2,1.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""It was good.Her assignment are a repeat No useUnnecessary effortNo learningperfectVery well instructed. Never felt lost in the course.The concepts were clearly explained in classes however, the presentation slides could have been more organized. Theuse of pictures and graphics helped, but they could be further improved by including colour and boxes. I know studentsare supposed to be diligent and persistent in their learning, but some colour would make the experience a bit easier.An another note, I enjoyed the in-class case discussions and role plays. I think every single lecture should have one. Itwas definitely more effective in getting a concept or idea ingrained within the minds of students. I think that byimplementing more case assignments as homework would be beneficial for students to feel engaged in what they'relearning. Most students did not take what they learned home and review it (myself included) By including caseassignments, you force students to actively stay on track in studying (because the case assignment submission will begraded) and you'll further be training them to do the exam.lively courseI really enjoyed this course, and felt that the course was designed very well. The readings were diverse and offeredinsight in the topics, and the assignments complimented the lecture material.The instructor is not very well organized8. Please comment on any assistance that was available to support your learning in thiscourse.""","b'CommentProquestNo assistanceperfectAlways there to answer my emails. Always felt supported.Professor Radhakrishnan constantly made herself available to discuss material or clarify conceptsreadingThe professor was always available to answer questions and aid us with understanding course materials. She wasalso very supportive and encouraging, and offered a safe and welcoming learning environment.'"
Leadership Skills,UTSC,Winter_2013,LEC06,38,7,3.7,3.7,4,3.3,4,3,3.8,3.3,3.3,4,4,4,3.5,4,3,4,4,4,4,4,"3,",1,1,0.6,0.8,0.6,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,b'very good8. Please comment on any assistance that was available to support your learning inthis course.',"b""CommentThe role plays were nice, but there wasn't much incentive to really participate."""
